Cluster,Age,k,N,Nsys,Z,bin_frac,Mc,Mdot,Lw,SNe,WR,WR2
IC_348,11.7,4061.4,600,60,0.0142,0.3,573.5,6.20e-08,6.95e+27,5,0,0
IC_4996,11.2,42364.0,6259,626,0.0169,0.74627,3423.5,9.80e-08,2.74e+32,15,5,0
IC_5146,5.62,6250.2,923,92,0.0142,0.3,616.5,2.11e-09,2.37e+26,0,0,0
King_10,27.13,247204.2,36522,3652,0.0142,0.3,21131.5,3.41e-06,1.10e+34,130,60,15
King_12,20.04,48710.5,7197,720,0.0113,0.69767,4101.5,1.77e-08,5.00e+31,20,20,5
LDN_988e,6.0,7064.6,1044,104,0.0142,0.3,635.5,1.32e-09,1.67e+26,0,0,0
LP_403,26.3,74848.3,11058,1106,0.0142,0.3,5724.0,5.55e-07,1.55e+33,40,20,5
L_1641S,11.7,1609.0,238,24,0.0142,0.3,104.5,2.66e-12,9.35e+22,0,0,0
Mamajek_1,9.8,359.1,53,5,0.0142,0.3,21.0,0.00e+00,0.00e+00,0,0,0
Markarian_38,16.89,15170.9,2241,224,0.0153,0.6,1379.5,7.25e-09,2.28e+31,30,15,0
Markarian_50,11.97,38350.0,5666,567,0.0142,0.3,3613.5,1.81e-07,2.12e+28,5,0,0
Mayer_1,28.8,26317.8,3888,389,0.0142,0.3,1890.5,1.00e-06,2.09e+27,5,0,0
Muzzio_1,12.78,67317.0,9945,994,0.0142,0.3,5722.5,3.61e-07,5.55e+28,5,5,0
NGC_1444,9.8,15203.9,2246,225,0.0142,0.3,1838.0,4.11e-07,1.12e+33,10,5,0
NGC_1502,10.5,18826.7,2781,278,0.0096,0.74528,1432.5,3.99e-09,4.06e+26,0,0,0
NGC_1579,18.85,12885.7,1904,190,0.0142,0.3,1241.5,7.75e-07,1.53e+29,0,0,0
NGC_1624,21.07,12348.4,1824,182,0.0142,0.3,1031.5,8.70e-09,1.43e+27,0,0,0
NGC_1893,20.98,40507.2,5985,598,0.0142,0.3,3843.0,5.50e-06,6.90e+29,5,5,0
NGC_1960,28.2,38826.2,5736,574,0.0134,0.53429,3499.0,3.91e-08,1.10e+32,15,10,0
NGC_1980,13.2,7672.0,1133,113,0.0142,0.3,690.5,4.74e-08,6.00e+27,5,0,0
NGC_2169,12.3,15280.7,2258,226,0.0094,0.3211,1299.0,3.11e-09,1.67e+26,5,0,0
NGC_2183,17.4,8227.7,1216,122,0.0108,0.56805,621.0,7.65e-12,2.06e+23,0,0,0
NGC_2232,17.8,4333.8,640,64,0.0131,0.25448,275.5,4.04e-11,1.58e+24,0,0,0
NGC_2244,12.6,52560.4,7765,776,0.0142,0.3,4219.5,7.65e-08,8.55e+27,5,0,0
NGC_2264,27.5,14958.5,2210,221,0.0129,0.3494,1283.0,1.82e-06,2.57e+27,15,5,0
NGC_2362,6.95,16770.0,2478,248,0.0142,0.3,1311.5,2.75e-07,4.97e+28,0,0,0
NGC_2367,15.86,13187.8,1948,195,0.0142,0.3,948.0,7.35e-09,8.85e+26,5,0,0
NGC_2414,20.75,119337.0,17631,1763,0.0085,0.50685,9565.0,4.10e-07,1.16e+33,65,60,15
NGC_2571,26.9,44907.0,6635,664,0.013,0.43868,3476.0,2.16e-08,1.09e+32,40,0,0
NGC_3293,15.19,65902.8,9737,974,0.0148,0.6125,5460.5,1.30e-07,1.89e+28,15,15,0
NGC_3324,10.7,17150.2,2534,253,0.0142,0.3,1799.5,1.59e-06,8.85e+33,20,15,0
